1	4	6	12.6	4.7857
2	2	23.386	12.6	3.25
3	3	39.236	12.6	3.4643
4	1	55.3	12.6	2.9464
5	4	70.846	12.6	7.3571
6	2	90.804	12.6	2.9821
7	3	106.39	12.6	3.6786
8	1	122.66	12.6	6.125
9	4	141.39	12.6	4.5179
10	2	158.51	12.6	2.1429
11	3	173.25	12.6	2.2321
12	1	188.08	12.6	4.375
13	2	205.06	12.6	3.3214
14	4	220.98	12.6	3.2321
15	1	236.81	12.6	2.3929
16	3	251.8	12.6	7.3036
17	2	271.71	12.6	4.8393
18	4	289.15	12.6	2.3036
19	1	304.05	12.6	2.2857
20	3	318.94	12.6	4.4821
21	2	336.02	12.6	8
22	4	356.62	12.6	4.1964
23	1	373.41	12.6	2
24	3	388.01	12.6	8
