1	4	6	12.6	4.9464
2	2	23.546	12.6	2.0536
3	3	38.2	12.6	2.3929
4	1	53.193	12.6	2.7679
5	4	68.561	12.6	4.6786
6	2	85.839	12.6	4.9107
7	3	103.35	12.6	4.8393
8	1	120.79	12.6	6.3214
9	4	139.71	12.6	4.7143
10	2	157.03	12.6	2.0357
11	3	171.66	12.6	2.6071
12	1	186.87	12.6	3.3571
13	2	202.82	12.6	3.6964
14	4	219.12	12.6	4.5893
15	1	236.31	12.6	2.6071
16	3	251.52	12.6	7.7143
17	2	271.83	12.6	3.6429
18	4	288.08	12.6	4.5893
19	1	305.26	12.6	2.0179
20	3	319.88	12.6	3.9821
21	2	336.46	12.6	7.375
22	4	356.44	12.6	2.9464
23	1	371.99	12.6	3.3571
24	3	387.94	12.6	8
